dateTime,Cycle_Alt
2017-07-20T06:21:15.625000Z,
2017-07-20T06:21:15.750000Z,
2017-07-20T06:21:15.875000Z,
2017-07-20T06:21:16.000000Z,593
2017-07-20T06:21:16.125000Z,
2017-07-20T06:21:16.250000Z,
2017-07-20T06:21:16.375000Z,
2017-07-20T06:21:16.500000Z,
2017-07-20T06:21:16.625000Z,
2017-07-20T06:21:16.750000Z,
2017-07-20T06:21:16.875000Z,
2017-07-20T06:21:17.000000Z,593
2017-07-20T06:21:17.125000Z,
2017-07-20T06:21:17.250000Z,
2017-07-20T06:21:17.375000Z,
2017-07-20T06:21:17.500000Z,
2017-07-20T06:21:17.625000Z,
2017-07-20T06:21:17.750000Z,
2017-07-20T06:21:17.875000Z,
2017-07-20T06:21:18.000000Z,593
2017-07-20T06:21:18.125000Z,
2017-07-20T06:21:18.250000Z,
2017-07-20T06:21:18.375000Z,
2017-07-20T06:21:18.500000Z,
2017-07-20T06:21:18.625000Z,
2017-07-20T06:21:18.750000Z,
2017-07-20T06:21:18.875000Z,
2017-07-20T06:21:19.000000Z,593
2017-07-20T06:21:19.125000Z,
2017-07-20T06:21:19.250000Z,
2017-07-20T06:21:19.375000Z,
2017-07-20T06:21:19.500000Z,
2017-07-20T06:21:19.625000Z,
2017-07-20T06:21:19.750000Z,
2017-07-20T06:21:19.875000Z,
2017-07-20T06:21:20.000000Z,593
2017-07-20T06:21:20.125000Z,
2017-07-20T06:21:20.250000Z,
2017-07-20T06:21:20.375000Z,
2017-07-20T06:21:20.500000Z,
2017-07-20T06:21:20.625000Z,
2017-07-20T06:21:20.750000Z,
2017-07-20T06:21:20.875000Z,
2017-07-20T06:21:21.000000Z,593
2017-07-20T06:21:21.125000Z,
2017-07-20T06:21:21.250000Z,
2017-07-20T06:21:21.375000Z,
2017-07-20T06:21:21.500000Z,
2017-07-20T06:21:21.625000Z,
2017-07-20T06:21:21.750000Z,
2017-07-20T06:21:21.875000Z,
2017-07-20T06:21:22.000000Z,593
2017-07-20T06:21:22.125000Z,
2017-07-20T06:21:22.250000Z,
2017-07-20T06:21:22.375000Z,
2017-07-20T06:21:22.500000Z,
2017-07-20T06:21:22.625000Z,
2017-07-20T06:21:22.750000Z,
2017-07-20T06:21:22.875000Z,
2017-07-20T06:21:23.000000Z,593
2017-07-20T06:21:23.125000Z,
2017-07-20T06:21:23.250000Z,
2017-07-20T06:21:23.375000Z,
2017-07-20T06:21:23.500000Z,
2017-07-20T06:21:23.625000Z,
2017-07-20T06:21:23.750000Z,
2017-07-20T06:21:23.875000Z,
2017-07-20T06:21:24.000000Z,593
2017-07-20T06:21:24.125000Z,
2017-07-20T06:21:24.250000Z,
2017-07-20T06:21:24.375000Z,
2017-07-20T06:21:24.500000Z,
2017-07-20T06:21:24.625000Z,
2017-07-20T06:21:24.750000Z,
2017-07-20T06:21:24.875000Z,
2017-07-20T06:21:25.000000Z,593
2017-07-20T06:21:25.125000Z,
2017-07-20T06:21:25.250000Z,
2017-07-20T06:21:25.375000Z,
2017-07-20T06:21:25.500000Z,
2017-07-20T06:21:25.625000Z,
2017-07-20T06:21:25.750000Z,
2017-07-20T06:21:25.875000Z,
2017-07-20T06:21:26.000000Z,593
2017-07-20T06:21:26.125000Z,
2017-07-20T06:21:26.250000Z,
2017-07-20T06:21:26.375000Z,
2017-07-20T06:21:26.500000Z,
2017-07-20T06:21:26.625000Z,
2017-07-20T06:21:26.750000Z,
2017-07-20T06:21:26.875000Z,
2017-07-20T06:21:27.000000Z,593
2017-07-20T06:21:27.125000Z,
2017-07-20T06:21:27.250000Z,
2017-07-20T06:21:27.375000Z,
2017-07-20T06:21:27.500000Z,
2017-07-20T06:21:27.625000Z,
2017-07-20T06:21:27.750000Z,
2017-07-20T06:21:27.875000Z,
2017-07-20T06:21:28.000000Z,593
2017-07-20T06:21:28.125000Z,
